"pais","casos","casos_acumulados","fallecidos","fallecidos_acumulados","fecha","bbdd","region"
"Albania",0,0,0,0,2020-01-03,"OMS","Global"
"Albania",0,0,0,0,2020-01-04,"OMS","Global"
"Albania",0,0,0,0,2020-01-05,"OMS","Global"
"Albania",0,0,0,0,2020-01-06,"OMS","Global"
"Albania",0,0,0,0,2020-01-07,"OMS","Global"
"Albania",0,0,0,0,2020-01-08,"OMS","Global"
"Albania",0,0,0,0,2020-01-09,"OMS","Global"
"Albania",0,0,0,0,2020-01-10,"OMS","Global"
"Albania",0,0,0,0,2020-01-11,"OMS","Global"
"Albania",0,0,0,0,2020-01-12,"OMS","Global"
"Albania",0,0,0,0,2020-01-13,"OMS","Global"
"Albania",0,0,0,0,2020-01-14,"OMS","Global"
"Albania",0,0,0,0,2020-01-15,"OMS","Global"
"Albania",0,0,0,0,2020-01-16,"OMS","Global"
"Albania",0,0,0,0,2020-01-17,"OMS","Global"
"Albania",0,0,0,0,2020-01-18,"OMS","Global"
"Albania",0,0,0,0,2020-01-19,"OMS","Global"
"Albania",0,0,0,0,2020-01-20,"OMS","Global"
"Albania",0,0,0,0,2020-01-21,"OMS","Global"
"Albania",0,0,0,0,2020-01-22,"OMS","Global"
"Albania",0,0,0,0,2020-01-23,"OMS","Global"
"Albania",0,0,0,0,2020-01-24,"OMS","Global"
"Albania",0,0,0,0,2020-01-25,"OMS","Global"
"Albania",0,0,0,0,2020-01-26,"OMS","Global"
"Albania",0,0,0,0,2020-01-27,"OMS","Global"
"Albania",0,0,0,0,2020-01-28,"OMS","Global"
"Albania",0,0,0,0,2020-01-29,"OMS","Global"
"Albania",0,0,0,0,2020-01-30,"OMS","Global"
"Albania",0,0,0,0,2020-01-31,"OMS","Global"
"Albania",0,0,0,0,2020-02-01,"OMS","Global"
"Albania",0,0,0,0,2020-02-02,"OMS","Global"
"Albania",0,0,0,0,2020-02-03,"OMS","Global"
"Albania",0,0,0,0,2020-02-04,"OMS","Global"
"Albania",0,0,0,0,2020-02-05,"OMS","Global"
"Albania",0,0,0,0,2020-02-06,"OMS","Global"
"Albania",0,0,0,0,2020-02-07,"OMS","Global"
"Albania",0,0,0,0,2020-02-08,"OMS","Global"
"Albania",0,0,0,0,2020-02-09,"OMS","Global"
"Albania",0,0,0,0,2020-02-10,"OMS","Global"
"Albania",0,0,0,0,2020-02-11,"OMS","Global"
"Albania",0,0,0,0,2020-02-12,"OMS","Global"
"Albania",0,0,0,0,2020-02-13,"OMS","Global"
"Albania",0,0,0,0,2020-02-14,"OMS","Global"
"Albania",0,0,0,0,2020-02-15,"OMS","Global"
"Albania",0,0,0,0,2020-02-16,"OMS","Global"
"Albania",0,0,0,0,2020-02-17,"OMS","Global"
"Albania",0,0,0,0,2020-02-18,"OMS","Global"
"Albania",0,0,0,0,2020-02-19,"OMS","Global"
"Albania",0,0,0,0,2020-02-20,"OMS","Global"
"Albania",0,0,0,0,2020-02-21,"OMS","Global"
"Albania",0,0,0,0,2020-02-22,"OMS","Global"
"Albania",0,0,0,0,2020-02-23,"OMS","Global"
"Albania",0,0,0,0,2020-02-24,"OMS","Global"
"Albania",0,0,0,0,2020-02-25,"OMS","Global"
"Albania",0,0,0,0,2020-02-26,"OMS","Global"
"Albania",0,0,0,0,2020-02-27,"OMS","Global"
"Albania",0,0,0,0,2020-02-28,"OMS","Global"
"Albania",0,0,0,0,2020-02-29,"OMS","Global"
"Albania",0,0,0,0,2020-03-01,"OMS","Global"
"Albania",0,0,0,0,2020-03-02,"OMS","Global"
"Albania",0,0,0,0,2020-03-03,"OMS","Global"
"Albania",0,0,0,0,2020-03-04,"OMS","Global"
"Albania",0,0,0,0,2020-03-05,"OMS","Global"
"Albania",0,0,0,0,2020-03-06,"OMS","Global"
"Albania",0,0,0,0,2020-03-07,"OMS","Global"
"Albania",0,0,0,0,2020-03-08,"OMS","Global"
"Albania",2,2,0,0,2020-03-09,"OMS","Global"
"Albania",0,2,0,0,2020-03-10,"OMS","Global"
"Albania",0,2,0,0,2020-03-11,"OMS","Global"
"Albania",1,3,1,1,2020-03-12,"OMS","Global"
"Albania",0,3,0,1,2020-03-13,"OMS","Global"
"Albania",0,3,0,1,2020-03-14,"OMS","Global"
"Albania",0,3,0,1,2020-03-15,"OMS","Global"
"Albania",2,5,0,1,2020-03-16,"OMS","Global"
"Albania",9,14,0,1,2020-03-17,"OMS","Global"
"Albania",4,18,0,1,2020-03-18,"OMS","Global"
"Albania",3,21,0,1,2020-03-19,"OMS","Global"
"Albania",11,32,0,1,2020-03-20,"OMS","Global"
"Albania",19,51,0,1,2020-03-21,"OMS","Global"
"Albania",0,51,0,1,2020-03-22,"OMS","Global"
"Albania",15,66,2,3,2020-03-23,"OMS","Global"
"Albania",19,85,1,4,2020-03-24,"OMS","Global"
"Albania",23,108,0,4,2020-03-25,"OMS","Global"
"Albania",28,136,1,5,2020-03-26,"OMS","Global"
"Albania",12,148,2,7,2020-03-27,"OMS","Global"
"Albania",11,159,1,8,2020-03-28,"OMS","Global"
"Albania",15,174,1,9,2020-03-29,"OMS","Global"
"Albania",11,185,1,10,2020-03-30,"OMS","Global"
"Albania",20,205,2,12,2020-03-31,"OMS","Global"
"Albania",34,239,2,14,2020-04-01,"OMS","Global"
"Albania",0,239,0,14,2020-04-02,"OMS","Global"
"Albania",0,239,1,15,2020-04-03,"OMS","Global"
"Albania",56,295,1,16,2020-04-04,"OMS","Global"
"Albania",0,295,1,17,2020-04-05,"OMS","Global"
"Albania",44,339,3,20,2020-04-06,"OMS","Global"
"Albania",0,339,1,21,2020-04-07,"OMS","Global"
"Albania",23,362,0,21,2020-04-08,"OMS","Global"
"Albania",9,371,0,21,2020-04-09,"OMS","Global"
"Albania",7,378,1,22,2020-04-10,"OMS","Global"
"Albania",0,378,0,22,2020-04-11,"OMS","Global"
"Albania",30,408,0,22,2020-04-12,"OMS","Global"
"Albania",0,408,0,22,2020-04-13,"OMS","Global"
"Albania",29,437,0,22,2020-04-14,"OMS","Global"
"Albania",0,437,1,23,2020-04-15,"OMS","Global"
"Albania",19,456,1,24,2020-04-16,"OMS","Global"
"Albania",24,480,1,25,2020-04-17,"OMS","Global"
"Albania",30,510,0,25,2020-04-18,"OMS","Global"
"Albania",0,510,0,25,2020-04-19,"OMS","Global"
"Albania",14,524,0,25,2020-04-20,"OMS","Global"
"Albania",47,571,0,25,2020-04-21,"OMS","Global"
"Albania",25,596,0,25,2020-04-22,"OMS","Global"
"Albania",0,596,1,26,2020-04-23,"OMS","Global"
